"Guid","AccessType"
10d5e921-4ddf-4064-8ee6-5aa30a97c6be,Give
1ceaac37-fab1-4ebb-ab9c-b8e3a5d4ccb6,Give
4b014a32-7c27-4651-8501-02d3a60a5a11,Give
4c07eb03-5e1a-4012-86f2-9ecbe63c012e,Give
68537f0b-6a32-49dd-bcad-17030c66eaf6,Give
793c1baf-f4a1-4600-9f58-21072b2438d4,Give
7f63696a-3542-4a49-aa4d-41e7973b2a18,Give
9f7830cc-b768-4c90-903d-b8de17e3d565,Give
9fafd7ac-78b1-4123-ac71-7957e0b990c0,Give
a3719a14-48eb-499b-918b-7a7e54c4d3ff,Give
b754338b-b5be-46d7-8504-31dfe433ad06,Give
dd3ed4e6-77b1-4dfc-9226-69464bf508fd,Give
